max_depth,n_estimators,score,training_score,testing_score
5,150,0.8408626841204407,0.8413835004122727,0.8462639937516272
8,75,0.8461571449880669,0.8498459401987588,0.8512106222337933
10,150,0.8485440246739471,0.8586121598750163,0.8531632387399115
12,150,0.8491515599762541,0.867204791042833,0.8514709711012757
12,100,0.848977995949953,0.8666840255175108,0.8527727154386878
12,110,0.8488911433095876,0.8669010111530616,0.8521218432699817
12,90,0.8491950475066898,0.8663368485006293,0.8535537620411351
11,105,0.8491515223084063,0.862778284077594,0.8522520177037229
