base_estimator__max_depth,learning_rate,n_estimators,score,training_score,testing_score
2,1.0,100,0.8518856051729374,0.8563121121381765,0.854725331944806
3,0.95,90,0.8537950787657858,0.8623443128064923,0.8556365529809945
3,0.9,100,0.8537082845115654,0.8623443128064923,0.8564175995834418
